가구식별번호,조사연도,조사차수,조사구식별번호,시도코드,시도명,행정구역유형,도시농촌구분,층화코드,표본조사구코드,조사일자,응답방식,응답상태,주택유형,점유형태,아파트층수,가구유형,가구원수,가구원수구간,가구주성별,가구주연령,가구주연령대,교육수준코드,교육수준,종사상지위,경제활동상태,산업분류,인터넷이용여부,건강상태등급,삶의만족도점수,지역박탈도백분위,통근시간_분,주당근로시간,월근로소득_만원,월사업소득_만원,월이전소득_만원,월기타소득_만원,월총소득_만원,연간가구소득_만원,세금사회보험료_만원,가처분소득_만원,식료품비_만원,주거비_만원,교육비_만원,보건의료비_만원,교통비_만원,기타지출_만원,월총지출_만원,월저축액_만원,1인당가처분소득_만원,균등화가처분소득_만원,주거비부담률,경제스트레스지수,조사가중치,응답자메모
HH-2025-000001,2025,1,ED-0001,R12,충청남도,면부,농촌,ST-12-면,PSU-0038,2025-05-08,인터넷,완료,기타,자가,0,1인가구,1,1인,여성,18,20대 이하,5,대학교,학생,비경제활동,,Y,5,3,5,,,0.0,0.0,15,15,30.0,360.0,1.6,28.4,51,40,0,18,7,8,124,-95.6,28.4,28.4,140.8,31.9,0.865,메모-0001: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000002,2025,2,ED-0002,R09,경기도,동부,도시,ST-09-동,PSU-0075,2025-06-14,전화,완료,단독주택,자가,0,부부,2,2인,여성,19,20대 이하,6,대학원,임시·일용근로자,취업,공공·교육,Y,5,4,10,27.5,40.5,200,0.0,30,40,270.0,3240.0,14.8,255.2,83,49,14,7,22,29,204,51.2,127.6,180.5,19.2,31.6,1.23,메모-0002: 소득 항목은 월평균 금액으로 응답
HH-2025-000003,2025,3,ED-0003,R03,대구광역시,동부,도시,ST-03-동,PSU-0112,2025-07-21,인터넷,완료,아파트,전세,22,1인가구,1,1인,여성,20,20대 이하,5,대학교,임시·일용근로자,취업,공공·교육,Y,4,3,15,33.0,43.0,160,0.0,30,60,250.0,3000.0,13.8,236.2,53,56,0,16,32,11,168,68.2,236.2,236.2,23.7,32.8,1.595,메모-0003: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000004,2025,4,ED-0004,R01,서울특별시,면부,농촌,ST-01-면,PSU-0149,2025-08-27,인터넷,완료,단독주택,보증부월세,0,1인가구,1,1인,여성,21,20대 이하,4,고등학교,학생,비경제활동,,Y,5,3,20,,,0.0,0.0,45,65,110.0,1320.0,6.0,104.0,56,50,0,11,35,39,191,-87.0,104.0,104.0,48.1,31.1,1.96,메모-0004: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000005,2025,1,ED-0005,R04,인천광역시,면부,농촌,ST-04-면,PSU-0186,2025-04-06,방문면접,완료,단독주택,보증부월세,0,부부+자녀,4,3~4인,여성,22,20대 이하,5,대학교,학생,비경제활동,,Y,5,3,25,,,0.0,0.0,95,105,200.0,2400.0,11.0,189.0,127,78,20,15,25,61,326,-137.0,47.2,94.5,41.3,30.4,0.82,메모-0005: 응답자가 조사표 작성 기준을 확인함
HH-2025-000006,2025,2,ED-0006,R10,강원특별자치도,동부,도시,ST-10-동,PSU-0223,2025-05-13,인터넷,완료,아파트,자가,13,부부,2,2인,여성,23,20대 이하,5,대학교,학생,비경제활동,,Y,5,4,30,,,0.0,0.0,35,100,135.0,1620.0,7.4,127.6,86,65,0,9,27,37,224,-96.4,63.8,90.2,50.9,30.9,1.185,"메모-0006: 생활비, 주거비 항목 재확인"
HH-2025-000007,2025,3,ED-0007,R01,서울특별시,동부,도시,ST-01-동,PSU-0260,2025-06-19,인터넷,완료,아파트,자가,20,한부모,3,3~4인,남성,24,20대 이하,6,대학원,학생,비경제활동,,Y,5,3,35,,,0.0,0.0,25,85,110.0,1320.0,6.0,104.0,114,59,9,6,10,47,245,-141.0,34.7,60.0,56.7,31.2,1.55,메모-0007: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000008,2025,4,ED-0008,R03,대구광역시,동부,도시,ST-03-동,PSU-0297,2025-07-26,전화,완료,아파트,자가,27,부부+자녀,5,5인 이상,남성,25,20대 이하,5,대학교,상용근로자,취업,금융·전문서비스,Y,4,5,40,40.0,48.5,490,0.0,40,95,625.0,7500.0,106.3,518.7,128,8,7,8,42,57,250,268.7,103.7,232.0,1.5,31.1,1.915,메모-0008: 소득 항목은 월평균 금액으로 응답
HH-2025-000009,2025,1,ED-0009,R01,서울특별시,읍부,농촌,ST-01-읍,PSU-0034,2025-09-01,인터넷,부분응답,단독주택,자가,0,부부,2,2인,남성,26,20대 이하,5,대학교,상용근로자,취업,건설업,Y,5,3,45,41.5,46.5,435,0.0,0,130,565.0,6780.0,59.3,505.7,91,14,0,13,26,29,173,332.7,252.8,357.6,2.8,31.4,0.775,메모-0009: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000010,2025,2,ED-0010,R04,인천광역시,동부,도시,ST-04-동,PSU-0071,2025-04-11,인터넷,완료,연립·다세대,자가,0,부부,2,2인,여성,27,20대 이하,5,대학교,비경제활동,비경제활동,,Y,5,4,50,,,0.0,0.0,40,115,155.0,1860.0,8.5,146.5,77,60,0,2,23,44,206,-59.5,73.2,103.6,41.0,30.7,1.14,메모-0010: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000011,2025,3,ED-0011,R14,전라남도,동부,도시,ST-14-동,PSU-0108,2025-05-18,전화,완료,오피스텔,자가,0,1인가구,1,1인,여성,28,20대 이하,6,대학원,비경제활동,비경제활동,,Y,4,4,55,,,0.0,0.0,15,10,25.0,300.0,1.4,23.6,47,53,0,2,10,21,133,-109.4,23.6,23.6,224.6,32.0,1.505,메모-0011: 응답자가 조사표 작성 기준을 확인함
HH-2025-000012,2025,4,ED-0012,R09,경기도,동부,도시,ST-09-동,PSU-0145,2025-06-24,방문면접,완료,아파트,자가,25,부부+자녀,4,3~4인,남성,29,20대 이하,4,고등학교,비경제활동,비경제활동,,Y,4,4,60,,,0.0,0.0,40,125,165.0,1980.0,9.1,155.9,108,39,11,2,6,46,212,-56.1,39.0,78.0,25.0,30.6,1.87,"메모-0012: 생활비, 주거비 항목 재확인"
HH-2025-000013,2025,1,ED-0013,R16,경상남도,동부,도시,ST-16-동,PSU-0182,2025-07-31,방문면접,완료,아파트,보증부월세,2,3세대,4,3~4인,남성,30,30대,5,대학교,상용근로자,취업,공공·교육,Y,3,2,65,66.0,21.0,465,0.0,35,85,585.0,7020.0,61.4,523.6,135,93,41,2,30,35,336,187.6,130.9,261.8,17.8,39.5,0.73,메모-0013: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000014,2025,2,ED-0014,R09,경기도,동부,도시,ST-09-동,PSU-0219,2025-09-06,전화,완료,아파트,자가,9,한부모,3,3~4인,여성,31,30대,6,대학원,임시·일용근로자,취업,공공·교육,Y,5,4,70,60.0,36.0,190,0.0,45,110,345.0,4140.0,36.2,308.8,81,40,6,12,38,39,216,92.8,102.9,178.3,13.0,39.5,1.095,메모-0014: 소득 항목은 월평균 금액으로 응답
